latitude;longitude;tour;step;date;city;room
45.638728;-122.661486;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;01.08.2017;Vancouver;Rogers Arena
53.544389;-113.490927;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;03.08.2017;Edmonton;Rogers Place
47.252877;-122.444291;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;05.08.2017;Tacoma;Tacoma Dome
33.96168;-118.353131;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;08.08.2017;Inglewood;The Forum
33.96168;-118.353131;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;09.08.2017;Inglewood;The Forum
36.169941;-115.13983;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;11.08.2017;Las Vegas;T-Mobile Arena
37.787994;-122.407437;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;13.08.2017;San Francisco;AT&T Park
38.581572;-121.4944;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;15.08.2017;Sacramento;Golden 1 Center
41.252363;-95.997988;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;19.08.2017;Omaha;CenturyLink Center Omaha
44.953703;-93.089958;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;21.08.2017;Saint Paul;Xcel Energy Center
41.49932;-81.694361;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;23.08.2017;Cleveland;Quicken Loans Arena
41.878114;-87.629798;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;25.08.2017;Chicago;Wrigley Field
40.712784;-74.005941;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;28.08.2017;New York;Citi Field
40.712784;-74.005941;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;29.08.2017;New York;Citi Field
42.360082;-71.05888;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;01.09.2017;Boston;Fenway Park
42.360082;-71.05888;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;02.09.2017;Boston;Fenway Park
43.653226;-79.383184;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;06.09.2017;Toronto;Air Canada Centre
43.653226;-79.383184;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;07.09.2017;Toronto;Air Canada Centre
39.952584;-75.165222;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;10.09.2017;Philadelphie;Wells Fargo Center
39.952584;-75.165222;JOANNE WORLD TOUR; Étape 1 - Amérique du Nord;11.09.2017;Philadelphie;Wells Fargo Center
45.501689;-73.567256;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;03.11.2017;Montréal;Centre Bell
39.768403;-86.158068;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;05.11.2017;Indianapolis;Bankers Life Fieldhouse
42.331427;-83.045754;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;07.11.2017;Détroit;Little Caesars Arena
41.431691;-72.110095;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;09.11.2017;Uncasville;Mohegan Sun Arena
41.431691;-72.110095;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;11.11.2017;Uncasville;Mohegan Sun Arena
38.252665;-85.758456;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;13.11.2017;Louisville;KFC Yum! Center
39.099727;-94.578567;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;15.11.2017;Kansas City;Sprint Center
38.627003;-90.199404;JOANNE WORLD TOUR;Étape 3 - Amérique du Nord;16.11.2017;Saint-Louis;Scottrade Center
